;wfood;totexp;age;size;town;sex
7500;0.297818461986067;928015;30;6;2;man
7501;0.243359670774851;1402566;56;4;2;man
7502;0.653160453808752;140676;44;1;2;man
7503;0.574797548697746;950352;43;6;2;man
7504;0.266811472609581;1226469;48;2;2;man
7505;0.288056653440283;643915;56;3;2;man
7506;0.629649842296611;498404;45;5;2;man
7507;0.407185113477466;511335;63;4;2;man
7508;0.35769488683137;982737;44;4;2;man
7509;0.596340913925249;437213;68;3;2;man
7510;0.257678763923823;904475;49;5;2;man
7511;0.198934938643204;561470;37;4;2;man
7512;0.345666905879434;673041;37;5;2;man
7513;0.402219841855107;1300453;38;5;2;man
7514;0.285073736825531;746235;51;4;1;man
7515;0.129699677591328;787820;76;2;1;man
7516;0.443534549816355;443519;54;3;1;man
7517;0.406647658220119;1031822;46;6;1;man
7518;0.225016754667819;1277256;58;2;1;man
7519;0.243337588987967;807553;59;4;2;woman
7520;0.384854371579112;733545;55;4;2;man
7521;0.358169966854369;405785;28;3;2;man
7522;0.444834964716595;219650;76;2;2;man
7523;0.302782959643392;419733;59;3;2;man
7524;0.717275072944378;574753;67;2;2;man
7525;0.290916052966686;449188;31;3;2;man
7526;0.482872563057606;236054;72;2;2;man
7527;0.454953844214258;539369;35;4;2;man
7528;0.494908070356148;574733;69;2;2;man
7529;0.308376737943086;947672;52;6;2;man
7530;0.511027959671552;192420;69;2;2;man
7531;0.306371356997393;845079;63;3;2;man
7532;0.553492110945026;752625;21;5;2;woman
7533;0.460663399281428;421948;26;3;2;man
7534;0.315271554956943;509326;49;5;2;man
7535;0.602353581052684;808980;51;2;2;man
7536;0.39862755742544;471568;38;5;2;man
7537;0.429029834074616;196956;72;2;1;man
7538;0.473434416215031;255368;56;3;1;man
7539;0.31637712974003;179482;68;2;1;man
7540;0.62106135986733;62712;77;2;1;man
7541;0.766738990923815;196338;70;2;1;woman
7542;0.65781728164045;51303;79;1;1;woman
7543;0.121295390682005;772956;52;3;1;man
7544;0.405006145938094;536940;39;3;1;man
7545;0.338233297540144;162042;78;2;1;woman
7546;0.362139979897067;264638;65;2;1;man
7547;0.427499130874498;253128;41;3;1;man
7548;0.352100592448811;444089;25;4;1;man
7549;0.288207115520697;1079668;57;6;1;man
7550;0.619956056220137;372749;57;3;1;man
7551;0.545360146758506;288910;49;2;2;man
7552;0.252216143111822;976020;43;5;2;man
7553;0.493556213221377;464944;29;4;2;man
7554;0.677250456497396;297373;71;2;2;man
7555;0.77888070946888;1029277;70;2;2;man
7556;0.301828505647748;411757;69;2;2;man
7557;0.299858071335605;1443683;39;7;2;man
7558;0.406026511526259;1061576;40;5;2;man
7559;0.522340785536736;410751;71;2;1;man
7560;0.308388397000076;502146;51;4;1;man
7561;0.371361769731123;667220;40;4;1;man
7562;0.417281487409421;456095;39;5;1;man
7563;0.406370971172525;564184;70;2;1;man
7564;0.380421875557413;392438;27;3;1;man
7565;0.457667038552126;822834;48;8;1;man
7566;0.0851838277601724;1034093;71;2;1;man
7567;0.617202838970397;786905;51;6;1;man
7568;0.672051269009715;196610;73;2;1;man
7569;0.599453388563864;468340;33;5;1;man
7570;0.780097841107812;316227;59;3;1;man
7571;0.489109352740255;116522;72;1;1;woman
7572;0.654725304768177;402355;38;4;1;man
7573;0.46241784210915;880165;44;6;1;man
7574;0.574162556349395;155503;70;2;1;man
7575;0.25796642168431;593240;56;5;1;man
7576;0.218421771541296;662553;69;2;1;man
7577;0.0664932609188659;1878446;70;2;1;man
7578;0.740686903235001;280680;63;2;1;man
7579;0.292335733075565;831756;58;3;1;man
7580;0.449516222837102;340446;71;2;1;man
7581;0.25391141584098;688114;46;4;1;man
7582;0.138032407007107;925232;45;4;1;man
7583;0.384827726089971;719813;45;5;2;man
7584;0.570977860672416;660544;55;5;2;man
7585;0.57601393255469;395046;63;2;2;man
7586;0.447470112397172;657045;70;3;2;man
7587;0.667150794762677;778031;57;4;2;man
7588;0.538088675569073;252516;56;2;2;man
7589;0.278140625897058;731558;43;4;2;man
7590;0.504212079386988;546286;65;2;2;man
7591;0.246482272050063;857798;35;4;2;man
7592;0.368413415750553;758094;56;4;2;man
7593;0.281722269746222;1402800;50;6;2;man
7594;0.229173604604101;1450359;26;2;2;man
7595;0.307341304001275;1568250;56;3;2;man
7596;0.227041822543028;1716371;64;3;2;man
7597;0.20300407293213;1313550;44;8;2;woman
7598;0.0662867957410887;1175136;30;2;2;man
7599;0.277882385800535;1482253;44;4;2;man
7600;0.40951484860011;899142;56;4;2;man
7601;0.194780734889026;950402;46;5;2;man
7602;0.406235544296934;1180330;52;3;2;woman
7603;0.232750930324168;1477442;42;6;2;man
7604;0.631719179530556;94580;72;1;1;woman
7605;0.693311974369243;162305;84;2;1;woman
7606;0.418690995983694;365759;57;3;1;man
7607;0.696379292840728;216698;76;1;1;woman
7608;0.304842635333613;238300;72;1;1;man
7609;0.545293362883471;85730;77;1;1;man
7610;0.331742931397486;867286;53;3;1;man
7611;0.244159434759235;846365;33;5;1;man
7612;0.598534223269206;305640;57;2;1;man
7613;0.601953190772857;380096;66;2;1;man
7614;0.191302113445108;1618968;36;4;1;man
7615;0.496396138442015;565782;50;3;1;man
7616;0.388767948633375;181908;77;2;1;man
7617;0.615661555736917;345534;49;4;1;man
7618;0.536126970995009;734908;38;4;1;man
7619;0.515307025305256;497288;73;2;1;man
7620;0.465614054594985;935324;44;4;1;man
7621;0.4667365412101;314850;62;2;1;man
7622;0.46082734454963;549082;30;5;1;man
7623;0.152169998199172;1155024;31;3;2;man
7624;0.638986130740677;321935;63;2;2;man
7625;0.0931491161171484;789358;48;1;2;man
7626;0.315734578325221;241608;78;2;2;man
7627;0.138731005683795;1465570;47;7;2;man
7628;0.257308639304733;628708;40;5;2;man
7629;0.198993014238649;494148;42;5;2;man
7630;0.181892277389119;206122;52;1;1;man
7631;0.552663510836775;417006;70;3;1;man
7632;0.612432626661876;361790;62;4;1;man
7633;0.403308496821382;380354;42;4;1;man
7634;0.370602061865239;861938;77;4;1;man
7635;0.552884908473224;721756;59;2;1;man
7636;0.772751508496677;189427;89;1;1;woman
7637;0.571249114812648;162395;67;3;1;man
7638;0.658831459887243;456912;50;4;1;man
7639;0.366313360732569;277380;67;2;1;man
7640;0.464388728644331;198308;71;2;1;man
7641;0.669614096163106;388361;50;3;1;man
7642;0.422868560486676;336322;77;2;1;man
7643;0.767599912817769;151407;69;2;1;man
7644;0.790167643569196;253693;40;2;1;man
7645;0.780702419161579;488227;71;3;1;woman
7646;0.795611190252478;164965;58;2;1;man
7647;0.858874659942937;602840;78;2;1;man
7648;0.556915670257685;253410;76;2;1;man
7649;0.87111379414428;66260;68;1;1;woman
7650;0.751915219611849;250624;83;2;1;man
7651;0.299989474270784;646036;55;6;1;man
7652;0.667170201347618;100622;78;3;1;man
7653;0.751455750936869;450970;64;2;1;man
7654;0.876141048292108;108672;75;1;1;woman
7655;0.119606081665169;589970;32;2;1;man
7656;0.451252109431778;324732;54;1;1;man
7657;0.430850392508267;1426212;59;2;1;man
7658;0.177235866117999;1907650;22;4;1;man
7659;0.283548907474188;1203221;27;3;1;man
7660;0.197154733103413;621664;60;1;1;man
7661;0.206300262560109;1694850;47;2;1;man
7662;0.327912981924407;802408;66;5;3;man
7663;0.274197644675122;712683;61;2;3;man
7664;0.193578685491662;2533936;39;4;3;man
7665;0.436999106431021;934455;38;5;3;man
7666;0.307254512142829;666978;24;3;3;man
7667;0.119947100253222;585258;60;1;3;woman
7668;0.466549597745743;489740;55;1;2;man
7669;0.373078780647177;2287935;48;7;2;man
7670;0.300871142540739;1217252;50;4;2;man
7671;0.2917924392698;361764;53;2;2;woman
7672;0.349545274812179;493155;50;2;2;man
7673;0.029405455999064;205132;55;1;2;man
7674;0.473293700170515;173592;62;3;2;man
7675;0.574396672631426;206770;75;2;2;man
7676;0.290415012555615;191946;67;1;2;woman
7677;0.138176512139615;1378874;50;5;2;man
7678;0.45360011827904;202910;72;1;2;woman
7679;0.538472007984756;88168;66;1;2;woman
7680;0.191654850279423;575472;68;1;3;woman
7681;0.327478835765541;1240300;74;6;3;man
7682;0.182449009218262;1791010;31;2;3;man
7683;0.279024876349959;573999;62;3;3;man
7684;0.347126362040297;861208;36;6;3;man
7685;0.352125259852271;226090;26;3;3;man
7686;0.326981481522854;2238035;51;6;3;man
7687;0.166662246788327;1055836;69;2;3;woman
7688;0.546359282106715;697541;38;4;3;man
7689;0.3232778426504;948868;27;6;3;man
7690;0.383903578044706;878804;32;4;3;woman
7691;0.3459712612103;860927;35;2;3;man
7692;0.11712500398734;1692858;29;3;3;man
7693;0.473947708400061;930398;41;9;2;man
7694;0.0752910187198606;1895153;51;5;2;man
7695;0.227956190036821;936408;23;5;2;man
7696;0.221267446275058;2128248;27;9;2;man
7697;0.409738386662063;359156;45;4;2;man
7698;0.0313545897402304;671672;61;3;1;man
7699;0.454049334206505;742122;59;3;1;man
7700;0.335304471825494;897620;47;3;1;man
7701;0.441700249218642;1740239;36;4;1;man
7702;0.283772029147152;944998;35;5;1;man
7703;0.188836772633626;1073668;33;2;1;man
7704;0.213102687505491;1024370;46;4;1;man
7705;0.252559326370745;851982;38;7;2;woman
